"rand_index","index","translation","reference_translation","accuracy"
355,11,"Vor allem ist nicht viel bekannt über die Quellen der Heterogenität, die man in Effekten von klassischen sozial","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
356,25,"Das HER ","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
357,429,"Einen der Punkte, welche das EC hervorhebt, ist, wie wichtig es ist, von Erfahrungen und besten Praktiken der verschiedenen Mitgliedsstaaten (MS) zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
358,8,"Die HER besteht aus verschiedenen Elementen. Es zieht folgende Elemente mit ein: einen statischen Nachbarsvergleich des Energieverbrauchs (eine deskriptive Norm), Rückmeldung zu individuellen Leistungen (eine injunktive Norm) und Tipps zum Energie","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
359,377,"Das Hauptproblem bei der Analysefindung ist, dass die Daten of lediglich für Standardindikatoren verwendet werden (z.B. tiefes Einkommen hohe Kosten) und dass diese Indikatoren nicht in in vielen Ländern verfügbar sind. Deshalb braucht es neue Ansätze, wie ""energieverletzliche Konsumenten definiert werden können. ","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
360,349,"Energiearmut ist eine der sozialen, technischen und rechtlichen Hauptproblematik im heutigen Europa. Es wird geschätzt, dass run 50 bis 125 Millionen Menschen davon betroffen sind.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
361,514,"In Anbetracht dessen, zielt das hier vorgestellte Projekt, dasvon der EU Kommission ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
362,70,"Der Einfluss von sozialen Informationen auf das Verhalten wurde in verschiedenen Settings gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
363,270,"Die Energieärmlichkeit ist eines der wichtigsten sozialen, technischen und legislativen Problmen in der heutigen Zeit in Europa. Es sind ungefähr 50 bis 125 Millionen Menschen davon betroffen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
364,111,"Erstens testen wir, ob der HER die individuelle Wahrnehmung von Normen im Bereich des Energiesparens beeinflusst. ","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
365,233,"Besonders wenig weiss man über die Ursprünge der Heterogenität im Effekt von einem gut bekannten sozial vergleichenden Experiment, wie jenes von der Opower program durch den Home Electricity Report zugestellte Experiment.","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
366,63,"Insbesondere ist noch relativ wenig dazu bekannt, woher Heterogenitätseffekte bei einem bekannten Experiment zum sozialen Vergleich wie dem durch das Opower-Programm mit dem Home Electricity Report durchgeführten stammen.","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
367,368,"Auf dieser Grundlage beabsichtigt das Pro","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
368,469,"Energiearmut ist eine der sozialen, technischen und leglislativen Hauptprobleme im aktuellen Europa, da die geschätzte Zahl von betroffenen Menschen zwischen 50 und 125 Millionen liegt.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
369,103,"Eine stärkere Wahrnehmung der Norm, Energie zu s","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
370,182,"In dieser Arbeit werden wir die Hypothese aufstellen, dass eine wichtig","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
371,117,"Obwohl das Konservationsverhalten von Personen mit hohen biosphärischen Werten in der Literatur gut dokumentiert wurde, ist über die Reaktionen dieser Konsumenten auf Vergleichsgruppen wenig bekannt.","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
372,433,"Vor diesem Hintergund zielt das Projekt (","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
373,431,"Die Europäische Kommission (EK) hat sich sehr bemüht, dieses Problem zu lösen, was beispielsweise durch die kürzliche Lancierung des EU Energy Poverty Obersvatory im Januar 2018 offensichtlich wird.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
374,391,"Im ersten Teil des Papers werden die Ergebnisse einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um ""energiearme"" und ""energiegefährdete"" Verbraucher zu definieren, da keine für ganz Europa gültige Definition existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
375,139,"Zweitens, während äussere Werte im Lauf des Lebens meist stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden, zum Beispiel durch Informationen zum Energiesparen.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
376,18,"Die HER enthält verschiedene Elemente. Dazu gehören Vergleiche zum Energieverbrauch der Nachbaren (eine deskriptive norm), feedback zur individuellen norm (eine injunktive Norm) sowie energiespartipps. ","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
377,379,"Um dieses Hinderhins zu überwinden, ist es notwendig, den Hintergrund zu definieren, hinter welchem die Pilotprojekte einbettet werden sollen (die Situation in den analysierten Mitgliedstaaten), und eine zweckdienliche Segmentierung vorzunehmen, indem die vorhandenen Statistikdaten analysiert und ausgewertet werden, welche ähnliche Indikatoren anwenden und kompatible sind mit den vorhandenen Inforationen. ","Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.",""
378,113,"Werte bezüglich der Umwelt bleiben mehr oder weniger gleich während unseres Lebens, aber die Selbstidentität betreffend Umwelt kann beeinflusst werden, so zum Beispiel durch Informationen über Energieverbrauch.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
379,495,"In diesem Projekt ist das Energy Consumption Research Institu verantwortlich für das technische Training der HEAs und die Plannung der Pilot Massnahmen.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
380,412,"Dieses Paper sammelt die ersten Resultate der oben genannten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
381,119,"Ein weiterer wichtiger offener Punkt in der Forschung ist das Verständnis darüber, ","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
382,23,"In dieser Arbeit testen wir, ob es einen sozialen Vergleichseffekt bei Energiekonservation gibt und ob dieser Effekt abhängig davon ist, ob individuelle Personen hohe Umweltansprüche haben.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
383,160,"Eine weitere interessante Lücke in der Forschung besteht im Verständnisde Mechanismen, welche hinter den Reaktionen der Individuen bezüglich Opowers HER und ihrem Energieverbrauch stehen.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
384,436,"Ein Punkt, der von der Europäischen Kommission hervorgehoben wurde, ist die Bedeutung des Lernens aus Erfahrungen und bewährten Vorgehensweisen aus anderen Mitgliedsstaaten (MS).","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
385,15,"Die Analyse kombiniert Daten von einer grossen randomisierten Studie, die von Opower in Italien durchgeführt wurde, mit Daten einer Umfrage von ","Diese Analyse kombiniert Daten aus einer grossen randomisierten Studie von Opower in Italien mit Umfragedaten von Kundinnen und Kunden eines Energieversorgers.",""
386,89,"Ein zweiter Mechanismus könnte folglich sein, dass die im HER gelieferte Information die ökologische Selbstidentität einer Person steigert.","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
387,220,"In diesem Paper testen wir ob es einen Effekt auf den Sozialen Vergleich der Energie Konservatin gibt und ob dieser Effekt vom Ausmass der gelebten hohen ökologischen Werte der Individuen abhängig ist.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
388,340,"Die Europäische Kommision (EC) ist sehr bemüht, diese Herausforderungen anzugehen, wie beispielsweise kürzlich die Einführung des EU Energy Poverty Observatory im Januar 2018 zeigt.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
389,203,"Ein zweiter Mechanismus könnte daher  sein, dass die Informationen, die mit dem HER übermitteltwerden, jemandes eigene Umweltidentitt vergrössern kann.","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
390,304,"The Europäische Kommission setzt viel daran, das Thema anzugehen, wie beispielsweise der kürzlich lancierte EU Energy Poverty Observatory im Januar 2018 zeigt.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
391,39,"Eine weitere wichtige Untersuchungslücke ist das Verständnis der Mechanismen hinter den Reaktionen der Individuen zu Opower's HER mit Einbezug ihres Energieverbrauchs.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
392,239,"Eine weitere wichtige Lücke in der Literatur bildet da Verstehen von den Mechanismen der Reaktionen der Individuen auf das HER von Opower in Bezug auf ihre Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
393,329,"Das grösste Hindernis bei der Durchführung dieser Analyse ist es, dass die Daten, die häufig für Standardindikatoren (bsp. niedriges einkommen, hohe Kosten), in vielen Ländern nicht verfügbar sind, sodass neue Methoden, um Energygefährdete Konsumenten zu definieren, gefunden werden müssen.","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
